SMILES,Name,pChEMBL,IC50_nM,NR-AhR,hERG,DILI,ClinTox,AMES,CYP1A2_Veith,CYP2D6_Veith,CYP3A4_Veith,CYP2C9_Veith,SR-ARE,SR-MMP,NR-AR,BBB_Martins,HIA_Hou
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,CHEMBL29197,10.60,0.0,0.9648,0.7718,0.9509,0.1751,0.6342,0.9861,0.2901,0.8645,0.0889,0.555,0.5199,0.0602,0.7692,1.0
CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,CHEMBL53428,10.05,0.1,0.9785,0.8201,0.9609,0.3836,0.6738,0.9953,0.4916,0.7216,0.018,0.6441,0.5681,0.0452,0.7059,0.9999
Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,CHEMBL420624,10.00,0.1,0.9934,0.7953,0.9324,0.1976,0.8361,0.9963,0.7612,0.9449,0.1322,0.868,0.8921,0.0726,0.6349,1.0
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL51853,9.89,0.1,0.9848,0.6627,0.9582,0.2485,0.6841,0.9884,0.375,0.8695,0.0596,0.7354,0.6987,0.0463,0.5651,1.0
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,CHEMBL54400,9.89,0.1,0.9821,0.7692,0.9664,0.3233,0.6549,0.9936,0.4812,0.8383,0.022,0.6539,0.5737,0.0432,0.6471,1.0
C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL334697,9.77,0.2,0.9325,0.5742,0.9726,0.2945,0.2462,0.9284,0.3494,0.7831,0.4259,0.8229,0.7933,0.0598,0.3505,0.9992
OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,CHEMBL127041,9.62,0.2,0.9493,0.6636,0.9722,0.4349,0.4227,0.9381,0.2653,0.5339,0.027,0.6087,0.4621,0.0357,0.466,0.9987
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,CHEMBL53426,9.60,0.2,0.9917,0.8399,0.9921,0.3166,0.3759,0.9938,0.5674,0.985,0.3317,0.8346,0.7083,0.0152,0.2865,0.9999
Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,CHEMBL152905,9.57,0.3,0.9949,0.7643,0.9804,0.118,0.8703,0.9921,0.5667,0.8898,0.3184,0.9722,0.9792,0.0741,0.5166,1.0
O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,CHEMBL128468,9.55,0.3,0.8389,0.5329,0.9712,0.652,0.2166,0.6088,0.1383,0.1581,0.0343,0.4427,0.221,0.0507,0.424,0.9525
O=C(O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL134371,9.43,0.4,0.7853,0.3489,0.9761,0.3998,0.255,0.4121,0.1356,0.2338,0.3373,0.7878,0.6692,0.1039,0.1452,0.803
Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,CHEMBL39320,9.43,0.4,0.9884,0.8186,0.9627,0.2671,0.8165,0.9966,0.5276,0.9361,0.0646,0.7002,0.585,0.0603,0.7826,1.0
Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,CHEMBL40734,9.41,0.4,0.9924,0.7742,0.9481,0.197,0.7742,0.9964,0.7724,0.9336,0.205,0.9021,0.914,0.0792,0.623,1.0
C=CS(=O)(=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL336264,9.37,0.4,0.8216,0.5238,0.983,0.2437,0.2627,0.9456,0.257,0.6829,0.4525,0.6678,0.5727,0.0345,0.5449,0.9992
CN(C)CCCNC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL345109,9.36,0.4,0.6268,0.8069,0.8916,0.743,0.6248,0.2441,0.1927,0.3324,0.0897,0.5372,0.3084,0.1261,0.4162,0.8764
Brc1cccc(Nc2ncnc3cc4[nH]ncc4cc23)c1,CHEMBL39337,9.36,0.4,0.9899,0.7346,0.9553,0.2124,0.6023,0.9949,0.6927,0.9708,0.1918,0.8141,0.7882,0.0516,0.4953,1.0
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,CHEMBL304271,9.35,0.5,0.591,0.9233,0.9284,0.7772,0.6256,0.358,0.3459,0.5296,0.2135,0.43,0.2265,0.0543,0.4951,0.9459
Cl.Nc1ccc2c(c1)sc1c(Nc3cccc(Br)c3)ncnc12,CHEMBL539822,9.33,0.5,0.9939,0.7916,0.9744,0.1469,0.8888,0.9907,0.708,0.869,0.2747,0.9773,0.9814,0.0762,0.5105,1.0
C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,CHEMBL136404,9.30,0.5,0.9695,0.6082,0.9909,0.2873,0.4185,0.9478,0.197,0.6966,0.2557,0.8594,0.8405,0.0563,0.3452,0.9986
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,CHEMBL126791,9.29,0.5,0.9913,0.9302,0.9653,0.2527,0.3847,0.9971,0.9728,0.9991,0.4392,0.8184,0.7248,0.0221,0.263,1.0
C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL93464,9.26,0.6,0.9571,0.6552,0.9734,0.2093,0.4893,0.925,0.3612,0.777,0.4284,0.8888,0.9144,0.0828,0.3586,0.9994
O=C(/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1)NCCCn1ccnc1,CHEMBL342828,9.25,0.6,0.951,0.8454,0.9879,0.3037,0.1592,0.8725,0.7525,0.9936,0.8761,0.9328,0.8794,0.0299,0.0945,0.9997
O=C(/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)NCCCN1CCOCC1,CHEMBL138940,9.21,0.6,0.5975,0.8564,0.9714,0.7921,0.5123,0.1156,0.1747,0.5356,0.2298,0.6721,0.3372,0.1094,0.3248,0.9042
