name,chembl_id,smiles,MW,LogP,HBD,HBA,TPSA,RotBonds,admet_AMES,admet_AMES_pct,admet_BBB_Martins,admet_BBB_Martins_pct,admet_BRENK_alert,admet_BRENK_alert_pct,admet_Bioavailability_Ma,admet_Bioavailability_Ma_pct,admet_CYP1A2_Veith,admet_CYP1A2_Veith_pct,admet_CYP2C19_Veith,admet_CYP2C19_Veith_pct,admet_CYP2C9_Substrate_CarbonMangels,admet_CYP2C9_Substrate_CarbonMangels_pct,admet_CYP2C9_Veith,admet_CYP2C9_Veith_pct,admet_CYP2D6_Substrate_CarbonMangels,admet_CYP2D6_Substrate_CarbonMangels_pct,admet_CYP2D6_Veith,admet_CYP2D6_Veith_pct,admet_CYP3A4_Substrate_CarbonMangels,admet_CYP3A4_Substrate_CarbonMangels_pct,admet_CYP3A4_Veith,admet_CYP3A4_Veith_pct,admet_Caco2_Wang,admet_Caco2_Wang_pct,admet_Carcinogens_Lagunin,admet_Carcinogens_Lagunin_pct,admet_Clearance_Hepatocyte_AZ,admet_Clearance_Hepatocyte_AZ_pct,admet_Clearance_Microsome_AZ,admet_Clearance_Microsome_AZ_pct,admet_ClinTox,admet_ClinTox_pct,admet_DILI,admet_DILI_pct,admet_HIA_Hou,admet_HIA_Hou_pct,admet_Half_Life_Obach,admet_Half_Life_Obach_pct,admet_HydrationFreeEnergy_FreeSolv,admet_HydrationFreeEnergy_FreeSolv_pct,admet_LD50_Zhu,admet_LD50_Zhu_pct,admet_Lipinski,admet_Lipinski_pct,admet_Lipophilicity_AstraZeneca,admet_Lipophilicity_AstraZeneca_pct,admet_NIH_alert,admet_NIH_alert_pct,admet_NR-AR,admet_NR-AR-LBD,admet_NR-AR-LBD_pct,admet_NR-AR_pct,admet_NR-AhR,admet_NR-AhR_pct,admet_NR-Aromatase,admet_NR-Aromatase_pct,admet_NR-ER,admet_NR-ER-LBD,admet_NR-ER-LBD_pct,admet_NR-ER_pct,admet_NR-PPAR-gamma,admet_NR-PPAR-gamma_pct,admet_PAINS_alert,admet_PAINS_alert_pct,admet_PAMPA_NCATS,admet_PAMPA_NCATS_pct,admet_PPBR_AZ,admet_PPBR_AZ_pct,admet_Pgp_Broccatelli,admet_Pgp_Broccatelli_pct,admet_QED,admet_QED_pct,admet_SR-ARE,admet_SR-ARE_pct,admet_SR-ATAD5,admet_SR-ATAD5_pct,admet_SR-HSE,admet_SR-HSE_pct,admet_SR-MMP,admet_SR-MMP_pct,admet_SR-p53,admet_SR-p53_pct,admet_Skin_Reaction,admet_Skin_Reaction_pct,admet_Solubility_AqSolDB,admet_Solubility_AqSolDB_pct,admet_VDss_Lombardo,admet_VDss_Lombardo_pct,admet_hERG,admet_hERG_pct,admet_hydrogen_bond_acceptors,admet_hydrogen_bond_acceptors_pct,admet_hydrogen_bond_donors,admet_hydrogen_bond_donors_pct,admet_logP,admet_logP_pct,admet_molecular_weight,admet_molecular_weight_pct,admet_stereo_centers,admet_stereo_centers_pct,admet_tpsa,admet_tpsa_pct
PRAZOSIN,CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,383.4,1.78,1,8,107.0,4,0.374587,67.800000,0.823100,59.800000,0.000000,25.900000,0.954032,96.800000,0.253638,69.900000,0.151873,59.800000,0.199890,69.700000,0.084363,63.300000,0.142427,59.100000,0.013546,29.100000,0.709969,82.200000,0.212304,68.600000,-4.875200,54.300000,0.097573,29.300000,34.644833,52.800000,50.892891,69.300000,0.219147,72.100000,0.973908,94.400000,0.999916,75.300000,-6.756921,11.400000,-14.849398,35.800000,3.431164,93.500000,4.000000,63.400000,2.059891,63.600000,0.000000,37.200000,0.026925,0.009008,44.300000,51.800000,0.378628,89.700000,0.044486,61.500000,0.137307,0.011438,39.500000,71.600000,0.004892,45.200000,0.000000,47.600000,0.950081,78.600000,78.530510,54.500000,0.206640,62.800000,0.726562,78.600000,0.199100,61.400000,0.107049,86.800000,0.009967,41.400000,0.092483,63.200000,0.063541,64.100000,0.161554,8.300000,-4.103279,30.000000,-2.877987,10.600000,0.653178,70.100000,8.000000,84.500000,1.000000,36.600000,1.784600,41.400000,383.408000,61.400000,0.000000,22.600000,106.950000,71.900000
NICOTINE,CHEMBL3,CN1CCC[C@H]1c1cccnc1,162.2,1.85,0,2,16.1,1,0.057409,15.500000,0.964828,83.500000,0.000000,25.900000,0.947751,95.200000,0.073338,51.100000,0.020852,25.900000,0.118661,44.400000,0.001929,13.500000,0.390723,81.900000,0.084236,57.200000,0.210802,27.700000,0.007230,32.100000,-4.355071,90.100000,0.113541,34.600000,20.214804,37.700000,-22.904654,6.300000,0.063854,38.300000,0.102663,19.500000,0.999965,83.000000,6.408891,33.700000,-7.813174,84.800000,2.775147,70.400000,4.000000,63.400000,-0.233820,26.900000,0.000000,37.200000,0.006658,0.000382,1.800000,10.600000,0.005667,29.300000,0.001583,15.700000,0.013812,0.000643,1.200000,0.700000,0.000073,5.100000,0.000000,47.600000,0.939279,74.900000,12.481005,5.500000,0.002000,19.600000,0.626152,63.800000,0.004429,1.200000,0.000135,3.100000,0.001588,12.200000,0.000509,8.300000,0.000219,1.900000,0.530758,51.400000,0.308370,96.300000,1.068990,46.400000,0.213381,43.600000,2.000000,17.100000,0.000000,11.600000,1.848300,42.200000,162.236000,11.600000,1.000000,55.300000,16.130000,8.000000
OFLOXACIN,CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.4,1.54,1,5,75.0,2,0.547343,82.500000,0.613602,41.200000,0.000000,25.900000,0.924102,87.700000,0.025488,39.600000,0.018547,24.300000,0.093260,35.200000,0.011856,34.500000,0.057289,33.000000,0.028817,40.700000,0.220573,29.200000,0.002847,24.800000,-4.751381,62.800000,0.185262,55.000000,4.714081,19.400000,-5.496304,18.700000,0.428807,88.100000,0.828441,75.000000,0.929056,28.600000,1.963807,25.500000,-14.097967,40.800000,2.447027,50.600000,4.000000,63.400000,-0.536633,23.400000,0.000000,37.200000,0.062797,0.022823,69.400000,83.200000,0.033067,56.700000,0.004088,27.000000,0.115818,0.009826,35.100000,64.300000,0.005687,47.500000,0.000000,47.600000,0.217382,22.900000,65.254486,41.200000,0.019839,38.300000,0.874740,97.300000,0.038875,21.300000,0.015215,59.600000,0.001746,13.300000,0.006127,30.700000,0.037532,54.700000,0.372826,30.500000,-3.259904,46.700000,-0.687357,28.700000,0.178401,40.100000,5.000000,61.900000,1.000000,36.600000,1.544000,38.100000,361.373000,56.300000,1.000000,55.300000,75.010000,50.600000
NALIDIXIC ACID,CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,232.2,1.42,1,3,72.2,2,0.449318,74.500000,0.697490,48.000000,0.000000,25.900000,0.904974,80.800000,0.064340,49.800000,0.012507,18.900000,0.272719,83.600000,0.012216,34.900000,0.043705,28.000000,0.005929,18.000000,0.204716,27.100000,0.001799,21.900000,-4.928294,50.500000,0.428709,89.400000,18.704678,35.600000,-1.718704,22.500000,0.205057,70.500000,0.941887,89.200000,0.955857,31.300000,-11.398279,6.800000,-12.450257,51.500000,1.961973,21.500000,4.000000,63.400000,-1.029851,17.200000,0.000000,37.200000,0.029323,0.013588,55.600000,55.500000,0.111789,72.600000,0.003739,26.100000,0.079294,0.008178,30.100000,44.600000,0.009936,58.200000,0.000000,47.600000,0.308929,26.600000,64.597603,40.600000,0.011903,34.400000,0.849524,95.200000,0.085851,40.200000,0.022199,65.800000,0.006978,34.000000,0.015862,40.100000,0.046028,59.000000,0.429727,37.900000,-2.325027,65.100000,-0.569310,30.100000,0.058683,26.100000,3.000000,32.700000,1.000000,36.600000,1.423020,37.000000,232.239000,22.900000,0.000000,22.600000,72.190000,47.900000
INDOMETHACIN,CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.8,3.93,1,3,68.5,4,0.119734,32.000000,0.335874,21.400000,0.000000,25.900000,0.922477,86.900000,0.226571,67.700000,0.333247,76.300000,0.554741,99.300000,0.482857,89.500000,0.088928,44.300000,0.032477,42.200000,0.505111,56.500000,0.152114,63.900000,-4.695659,67.000000,0.383196,86.300000,6.763519,21.900000,1.962122,26.300000,0.115191,54.500000,0.966734,93.400000,0.986811,38.100000,43.156719,77.600000,-12.438336,51.600000,3.248520,89.100000,4.000000,63.400000,1.394567,51.600000,0.000000,37.200000,0.051194,0.017245,62.300000,77.600000,0.180178,79.600000,0.087240,73.100000,0.140756,0.047908,74.300000,72.200000,0.264400,96.400000,0.000000,47.600000,0.651691,41.200000,96.365807,81.600000,0.440412,75.300000,0.767807,84.500000,0.266343,68.000000,0.067656,80.900000,0.030541,62.600000,0.317959,79.900000,0.158379,80.700000,0.314285,23.100000,-4.615719,20.600000,-2.409187,14.000000,0.287815,49.500000,3.000000,32.700000,1.000000,36.600000,3.927320,76.100000,357.793000,55.400000,0.000000,22.600000,68.530000,45.500000
SULBACTAM,CHEMBL403,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,233.2,-0.79,1,4,91.8,1,0.280587,58.100000,0.394454,25.100000,0.000000,25.900000,0.627101,24.900000,0.000100,7.100000,0.004934,8.400000,0.082708,31.800000,0.001880,13.200000,0.003598,8.000000,0.001137,3.100000,0.081126,13.100000,0.000133,6.000000,-5.372015,27.700000,0.266353,72.100000,2.851152,17.100000,-7.941234,16.300000,0.065312,39.100000,0.619696,61.500000,0.279945,11.700000,7.144463,34.700000,-14.470087,38.200000,1.753284,12.200000,4.000000,63.400000,-1.791831,9.900000,1.000000,83.100000,0.023685,0.012258,52.900000,47.300000,0.000766,7.800000,0.001187,12.600000,0.081765,0.008667,31.500000,46.600000,0.003930,41.100000,0.000000,47.600000,0.013838,8.600000,47.457634,26.000000,0.002479,21.300000,0.598816,59.900000,0.079642,38.500000,0.005345,39.500000,0.006355,32.100000,0.000387,7.000000,0.029092,50.300000,0.510005,48.200000,-1.267674,80.800000,-2.081173,16.700000,0.003707,2.200000,4.000000,48.600000,1.000000,36.600000,-0.795000,16.100000,233.245000,23.100000,2.000000,69.800000,91.750000,62.600000
TAZOBACTAM,CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,300.3,-1.52,1,6,122.5,3,0.351452,65.600000,0.225850,14.800000,0.000000,25.900000,0.616976,24.000000,0.000024,4.900000,0.002085,4.000000,0.076705,30.000000,0.001167,8.800000,0.002372,6.500000,0.001443,4.500000,0.104430,16.100000,0.000531,14.300000,-5.760055,18.200000,0.192255,57.100000,4.099012,18.700000,5.726992,29.600000,0.066369,39.500000,0.820531,74.300000,0.316365,12.500000,-4.552510,14.700000,-17.391449,24.000000,2.017679,24.500000,4.000000,63.400000,-1.611217,11.300000,1.000000,83.100000,0.022134,0.012332,53.100000,44.400000,0.000362,5.700000,0.001551,15.300000,0.063427,0.006377,23.500000,33.700000,0.002357,31.700000,0.000000,47.600000,0.010185,7.900000,52.026897,29.800000,0.003095,23.300000,0.672167,70.500000,0.078718,38.100000,0.004632,37.500000,0.007539,35.300000,0.000261,5.500000,0.047256,59.400000,0.448858,40.100000,-1.615928,76.100000,-1.225147,24.300000,0.005155,2.900000,6.000000,72.500000,1.000000,36.600000,-1.523200,11.700000,300.296000,40.500000,3.000000,76.600000,122.460000,79.600000
CIPROFLOXACIN,CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,331.3,1.58,2,4,74.6,3,0.533075,81.400000,0.468466,30.500000,0.000000,25.900000,0.846796,62.400000,0.015063,34.600000,0.012601,19.200000,0.073429,28.900000,0.009488,30.800000,0.033706,24.500000,0.025682,39.300000,0.129952,19.500000,0.002588,24.000000,-5.244494,33.700000,0.185484,55.100000,-6.810726,10.800000,-13.121702,12.700000,0.310414,80.100000,0.782469,71.100000,0.757605,21.300000,3.679030,28.700000,-16.359726,27.800000,2.430133,49.100000,4.000000,63.400000,-1.160706,15.800000,0.000000,37.200000,0.094636,0.034957,77.800000,90.400000,0.029405,55.200000,0.004384,28.400000,0.132275,0.012307,41.400000,70.000000,0.003824,40.600000,0.000000,47.600000,0.075984,15.900000,57.501411,33.900000,0.008596,31.900000,0.893230,98.700000,0.037663,20.700000,0.017004,61.600000,0.002885,19.100000,0.003759,25.500000,0.043504,57.700000,0.376249,30.900000,-3.127554,49.800000,-1.355426,23.000000,0.090573,30.300000,4.000000,48.600000,2.000000,61.400000,1.583300,39.000000,331.347000,49.400000,0.000000,22.600000,74.570000,49.500000
NORFLOXACIN,CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,319.3,1.27,2,4,74.6,3,0.538357,81.900000,0.513104,33.700000,0.000000,25.900000,0.867486,67.700000,0.015784,34.900000,0.008921,14.200000,0.065476,26.500000,0.005939,24.600000,0.037807,25.700000,0.018847,34.100000,0.113833,17.500000,0.001734,21.600000,-5.271077,32.000000,0.183537,54.700000,-2.800095,13.200000,-10.790130,14.300000,0.301015,79.100000,0.766455,70.100000,0.792768,22.200000,1.893344,25.300000,-16.022200,29.400000,2.318462,41.900000,4.000000,63.400000,-1.403024,13.000000,0.000000,37.200000,0.079604,0.027356,73.500000,87.900000,0.032646,56.600000,0.002833,22.500000,0.115630,0.008978,32.400000,64.100000,0.002252,30.600000,0.000000,47.600000,0.084128,16.400000,52.110664,29.900000,0.005087,27.100000,0.891026,98.600000,0.028623,15.300000,0.012712,56.300000,0.001976,14.300000,0.002708,21.800000,0.034167,52.800000,0.361202,28.900000,-2.652483,58.700000,-0.712054,28.200000,0.075085,28.500000,4.000000,48.600000,2.000000,61.400000,1.268300,34.800000,319.336000,46.900000,0.000000,22.600000,74.570000,49.600000
AMPHETAMINE,CHEMBL405,CC(N)Cc1ccccc1,135.2,1.58,1,1,26.0,2,0.060096,16.300000,0.980877,90.500000,0.000000,25.900000,0.904966,80.800000,0.226711,67.700000,0.065637,44.700000,0.137364,51.800000,0.004848,22.200000,0.491886,86.600000,0.352150,79.800000,0.236485,31.500000,0.003556,26.600000,-4.519108,80.700000,0.176780,53.300000,13.607500,29.800000,-24.292425,5.400000,0.055105,34.200000,0.048125,9.500000,0.999947,79.400000,0.128957,22.600000,-7.449050,86.600000,2.944171,79.500000,4.000000,63.400000,-0.176280,27.600000,0.000000,37.200000,0.008530,0.000865,4.500000,14.800000,0.004908,27.200000,0.002920,22.900000,0.030635,0.002152,6.600000,6.800000,0.000568,13.600000,0.000000,47.600000,0.948886,78.100000,23.266283,10.700000,0.009924,33.000000,0.654216,67.700000,0.009421,3.400000,0.000218,4.600000,0.004151,24.500000,0.003421,24.200000,0.000642,3.900000,0.724325,75.600000,-0.433775,90.500000,-1.262232,23.900000,0.307764,51.000000,1.000000,6.900000,1.000000,36.600000,1.576300,38.900000,135.210000,7.100000,1.000000,55.300000,26.020000,12.600000
